City,Region,Country,AirQuality,WaterPollution
Scranton,Pennsylvania,United States of America,92.85714286,41.66666667
Albany,Georgia,United States of America,75.0,16.66666667
Duluth,Georgia,United States of America,50.0,0.0
Blacksburg,Virginia,United States of America,75.0,0.0
Newport,New Hampshire,United States of America,100.0,0.0
Middletown,New York,United States of America,100.0,25.0
Joplin,Missouri,United States of America,79.16666667,18.75
Lancaster,Pennsylvania,United States of America,66.66666667,45.0
Pocatello,Idaho,United States of America,83.33333333,87.5
Simi Valley,California,United States of America,82.14285714,25.0
Fairfield,California,United States of America,87.5,37.5
Bangor,Maine,United States of America,87.5,12.5
Rockville,Maryland,United States of America,87.5,50.0
Laramie,Wyoming,United States of America,100.0,0.0
Parkersburg,West Virginia,United States of America,0.0,100.0
Fayetteville,North Carolina,United States of America,77.08333333,66.66666667
Schenectady,New York,United States of America,50.0,50.0
Newport News,Virginia,United States of America,66.66666667,62.5
Holland,Indiana,United States of America,75.0,75.0
Adelanto,California,United States of America,50.0,50.0
Goldsboro,North Carolina,United States of America,60.0,100.0
Chester,Pennsylvania,United States of America,87.5,50.0
El Cajon,California,United States of America,50.0,25.0
Pembroke Pines,Florida,United States of America,100.0,75.0
Adrian,Georgia,United States of America,83.33333333,87.5
Escondido,California,United States of America,75.0,12.5
Farmville,North Carolina,United States of America,75.0,25.0
Hattiesburg,Mississippi,United States of America,82.14285714,41.66666667
Des Plaines,Illinois,United States of America,100.0,50.0
Paradise,California,United States of America,75.0,50.0
Everett,Washington,United States of America,88.63636364,32.14285714
Columbia,Maryland,United States of America,100.0,25.0
Temple,Texas,United States of America,100.0,0.0
Bellingham,Washington,United States of America,94.73684211,30.0
Chico,California,United States of America,72.5,50.0
Alton,Illinois,United States of America,25.0,75.0
Amargosa Valley,Nevada,United States of America,25.0,100.0
Grand Island,Nebraska,United States of America,75.0,0.0
Kenosha,Wisconsin,United States of America,87.5,12.5
White Plains,New York,United States of America,37.5,62.5
Urbana,Illinois,United States of America,87.5,12.5
Cape Coral,Florida,United States of America,75.0,25.0
Great Falls,Montana,United States of America,75.0,25.0
Ames,Iowa,United States of America,66.66666667,50.0
Spanish Fork,Utah,United States of America,75.0,0.0
Logan,Utah,United States of America,67.85714286,0.0
Tooele,Utah,United States of America,100.0,50.0
Farmington,Utah,United States of America,100.0,50.0
Lewiston,Utah,United States of America,75.0,0.0
Berkeley,California,United States of America,79.16666667,36.11111111
Ann Arbor,Michigan,United States of America,76.31578947,51.78571429
Pasadena,California,United States of America,65.0,20.0
Key West,Florida,United States of America,100.0,0.0
Duluth,Minnesota,United States of America,96.42857143,25.0
Glendale,California,United States of America,77.5,45.83333333
San Bernardino,California,United States of America,0.0,50.0
Pensacola,Florida,United States of America,66.17647059,53.125
Cedar Rapids,Iowa,United States of America,89.28571429,25.0
Evansville,Indiana,United States of America,68.75,37.5
Kansas City,Kansas,United States of America,68.75,31.25
Rochester,Minnesota,United States of America,80.55555556,62.5
Mountain View,California,United States of America,91.66666667,33.33333333
Pomona,California,United States of America,37.5,75.0
South Bend,Indiana,United States of America,92.85714286,33.33333333
Minot,North Dakota,United States of America,68.75,75.0
Monterey,California,United States of America,91.66666667,34.375
Iowa City,Iowa,United States of America,83.33333333,37.5
St. Augustine,Florida,United States of America,87.5,62.5
Gainesville,Florida,United States of America,87.5,34.375
Palm Springs,California,United States of America,43.75,87.5
Salinas,California,United States of America,100.0,50.0
Ontario,California,United States of America,33.33333333,25.0
Eureka,California,United States of America,100.0,0.0
Oceanside,California,United States of America,75.0,75.0
Palmdale,California,United States of America,32.14285714,50.0
Torrance,California,United States of America,75.0,0.0
Sioux City,Iowa,United States of America,100.0,50.0
Bloomington,Indiana,United States of America,83.33333333,55.0
Ventura,California,United States of America,85.0,35.0
Concord,California,United States of America,62.5,12.5
Flint,Michigan,United States of America,62.5,87.5
Gulfport,Mississippi,United States of America,100.0,0.0
Daytona Beach,Florida,United States of America,96.42857143,46.42857143
Biloxi,Mississippi,United States of America,100.0,50.0
Fort Collins,Colorado,United States of America,86.84210526,35.0
Alameda,California,United States of America,62.5,37.5
Carlsbad,California,United States of America,75.0,25.0
Hayward,California,United States of America,87.5,25.0
Fontana,California,United States of America,45.0,35.0
Santa Clarita,California,United States of America,87.5,31.25
Canton,Ohio,United States of America,83.33333333,25.0
Roseville,California,United States of America,93.75,40.0
Anderson,Indiana,United States of America,90.0,25.0
Sarasota,Florida,United States of America,90.38461538,25.0
Williamsburg,Virginia,United States of America,100.0,0.0
Winchester,Virginia,United States of America,100.0,50.0
Terre Haute,Indiana,United States of America,75.0,12.5
Walnut Creek,California,United States of America,83.33333333,8.333333333
Lawrence,Kansas,United States of America,87.5,50.0
Owensboro,Kentucky,United States of America,60.71428571,66.66666667
Carson,California,United States of America,25.0,100.0
Corona,California,United States of America,50.0,37.5
Lancaster,California,United States of America,87.5,12.5
Fullerton,California,United States of America,100.0,25.0
Victorville,California,United States of America,85.71428571,50.0
Antioch,California,United States of America,0.0,75.0
Redding,California,United States of America,72.22222222,45.83333333
Rancho Cucamonga,California,United States of America,66.66666667,16.66666667
El Centro,California,United States of America,78.57142857,66.66666667
Visalia,California,United States of America,40.0,75.0
Idaho Falls,Idaho,United States of America,95.83333333,16.66666667
Tyler,Texas,United States of America,66.66666667,45.83333333
Merced,California,United States of America,87.5,50.0
Costa Mesa,California,United States of America,56.25,40.0
Yakima,Washington,United States of America,78.125,31.25
Coeur d'Alene,Idaho,United States of America,79.16666667,50.0
Moscow,Idaho,United States of America,37.5,62.5
Overland Park,Kansas,United States of America,98.21428571,16.66666667
Lewiston,Maine,United States of America,100.0,50.0
Lawton,Oklahoma,United States of America,100.0,50.0
Redwood City,California,United States of America,100.0,0.0
Coral Springs,Florida,United States of America,100.0,50.0
Decatur,Illinois,United States of America,70.83333333,37.5
Mission Viejo,California,United States of America,75.0,75.0
Fort Myers,Florida,United States of America,70.58823529,85.0
Albany,Oregon,United States of America,75.0,12.5
Encinitas,California,United States of America,75.0,12.5
Alexandria,Minnesota,United States of America,100.0,25.0
Twin Falls,Idaho,United States of America,75.0,75.0
Merrillville,Indiana,United States of America,87.5,50.0
Ankeny,Iowa,United States of America,100.0,50.0
Bozeman,Montana,United States of America,100.0,5.555555556
Greenville,South Carolina,United States of America,91.25,18.33333333
New Braunfels,Texas,United States of America,100.0,31.25
Pittsfield,Illinois,United States of America,100.0,50.0
Wheaton,Illinois,United States of America,100.0,0.0
Macomb,Illinois,United States of America,75.0,0.0
McHenry,Illinois,United States of America,75.0,75.0
Lockport,Illinois,United States of America,100.0,0.0
Quincy,Illinois,United States of America,91.66666667,25.0
Corning,New York,United States of America,100.0,37.5
Crystal Lake,Illinois,United States of America,68.75,25.0
Bloomington,Illinois,United States of America,93.75,25.0
Collinsville,Illinois,United States of America,75.0,25.0
Rock Island,Illinois,United States of America,79.16666667,50.0
Champaign,Illinois,United States of America,58.33333333,33.33333333
Mount Vernon,Illinois,United States of America,100.0,0.0
Burlington,Iowa,United States of America,87.5,37.5
DeKalb,Illinois,United States of America,75.0,50.0
Bradenton,Florida,United States of America,83.33333333,42.85714286
Hazel Park,Michigan,United States of America,25.0,25.0
Kissimmee,Florida,United States of America,70.0,68.75
Fort Pierce,Florida,United States of America,75.0,0.0
Deerfield Beach,Florida,United States of America,91.66666667,36.11111111
Paso Robles,California,United States of America,100.0,75.0
Germantown,Tennessee,United States of America,100.0,25.0
Florence,South Carolina,United States of America,100.0,50.0
Yucaipa,California,United States of America,50.0,75.0
East Chicago,Indiana,United States of America,100.0,50.0
Lorain,Ohio,United States of America,0.0,50.0
Palm Coast,Florida,United States of America,90.0,55.0
Fairfax,South Carolina,United States of America,78.33333333,28.84615385
Apple Valley,California,United States of America,100.0,0.0
Thomasville,North Carolina,United States of America,87.5,50.0
High Point,North Carolina,United States of America,75.0,12.5
Norwich,Connecticut,United States of America,92.85714286,50.0
San Rafael,California,United States of America,100.0,0.0
Lafayette,Indiana,United States of America,66.66666667,56.25
Lakeland,Florida,United States of America,100.0,45.0
Barrington,Rhode Island,United States of America,50.0,25.0
Santa Maria,California,United States of America,83.33333333,75.0
Asheville,North Carolina,United States of America,88.88888889,48.0
Gainesville,Georgia,United States of America,100.0,50.0
Morgantown,West Virginia,United States of America,86.11111111,75.0
Atascadero,California,United States of America,100.0,100.0
Citrus Heights,California,United States of America,100.0,50.0
Wilmington,North Carolina,United States of America,100.0,50.0
Tupelo,Mississippi,United States of America,85.71428571,25.0
Perry,Georgia,United States of America,87.5,50.0
Davis,California,United States of America,75.0,25.0
College Park,Maryland,United States of America,100.0,0.0
Bend,Oregon,United States of America,100.0,0.0
Chapel Hill,North Carolina,United States of America,83.33333333,41.66666667
Pueblo,Colorado,United States of America,95.0,50.0
Clinton,Iowa,United States of America,87.5,50.0
Renton,Washington,United States of America,62.5,16.66666667
Highland,California,United States of America,50.0,100.0
Bowling Green,Kentucky,United States of America,91.66666667,100.0
Bremerton,Washington,United States of America,100.0,25.0
College Station,Texas,United States of America,77.5,35.0
Ashland,Ohio,United States of America,83.33333333,8.333333333
Greensburg,Pennsylvania,United States of America,87.5,50.0
St. Cloud,Minnesota,United States of America,100.0,0.0
Butte,North Dakota,United States of America,75.0,56.25
Farmington,Connecticut,United States of America,75.0,50.0
New Rochelle,New York,United States of America,50.0,25.0
Pleasanton,California,United States of America,100.0,0.0
Corvallis,Oregon,United States of America,75.0,50.0
Lake Forest,California,United States of America,87.5,0.0
Gaithersburg,Maryland,United States of America,91.66666667,12.5
Easton,Maryland,United States of America,100.0,50.0
Hyattsville,Maryland,United States of America,50.0,75.0
Fairfield,Connecticut,United States of America,79.16666667,62.5
Trumbull,Connecticut,United States of America,91.66666667,25.0
Laurel,Maryland,United States of America,87.5,50.0
Athens,Ohio,United States of America,100.0,0.0
Hagerstown,Maryland,United States of America,87.5,50.0
Salisbury,Maryland,United States of America,100.0,0.0
Georgetown,Delaware,United States of America,100.0,50.0
Milton,Delaware,United States of America,50.0,100.0
Richmond,Kentucky,United States of America,80.26315789,47.36842105
Keene,New Hampshire,United States of America,100.0,50.0
Johnson City,Tennessee,United States of America,90.0,20.0
Spartanburg,South Carolina,United States of America,100.0,25.0
Victoria,Texas,United States of America,100.0,25.0
Banning,California,United States of America,80.0,50.0
Barnstable,Massachusetts,United States of America,100.0,75.0
Bartlesville,Oklahoma,United States of America,75.0,75.0
Baytown,Texas,United States of America,100.0,50.0
Beaufort,North Carolina,United States of America,50.0,75.0
Beckley,West Virginia,United States of America,100.0,50.0
Belmont,California,United States of America,100.0,25.0
Bentonville,Arkansas,United States of America,91.66666667,0.0
York,Pennsylvania,United States of America,64.28571429,75.0
Delray Beach,Florida,United States of America,100.0,0.0
Newport,Oregon,United States of America,100.0,75.0
Grass Valley,California,United States of America,62.5,62.5
Mount Vernon,New York,United States of America,100.0,50.0
Medford,Oregon,United States of America,85.71428571,25.0
Ukiah,California,United States of America,100.0,50.0
Dublin,California,United States of America,100.0,0.0
Ojai,California,United States of America,87.5,50.0
Wheeling,West Virginia,United States of America,70.0,75.0
Temecula,California,United States of America,71.42857143,27.77777778
Murrieta,California,United States of America,100.0,25.0
Indio,California,United States of America,50.0,25.0
Myrtle Beach,South Carolina,United States of America,87.5,50.0
Redondo Beach,California,United States of America,100.0,37.5
Kent,Washington,United States of America,100.0,0.0
Texarkana,Texas,United States of America,64.28571429,75.0
Kennewick,Washington,United States of America,95.0,20.0
Camarillo,California,United States of America,100.0,0.0
Kearney,Nebraska,United States of America,100.0,75.0
Klamath Falls,Oregon,United States of America,83.33333333,62.5
Roseburg,Oregon,United States of America,75.0,40.0
Danville,California,United States of America,100.0,75.0
North Charleston,South Carolina,United States of America,100.0,50.0
Oroville,California,United States of America,100.0,0.0
Madera,California,United States of America,75.0,50.0
Glendora,California,United States of America,50.0,25.0
Panama City,Florida,United States of America,50.0,37.5
Longview,Texas,United States of America,85.0,75.0
Cary,North Carolina,United States of America,50.0,62.5
Hamilton,Ohio,United States of America,87.5,50.0
Marietta,Georgia,United States of America,80.55555556,10.0
Stillwater,Oklahoma,United States of America,93.75,50.0
Kalispell,Montana,United States of America,89.28571429,0.0
Livonia,Michigan,United States of America,100.0,25.0
Montclair,California,United States of America,75.0,0.0
